Designator,Footprint,Quantity,Value,LCSC Part #
J1,TE_1-84953-8_1x18-1MP_P1.0mm_Horizontal,1,Conn_01x18,
"SW1, SW2, SW3, SW4, SW5",SW_SPST_B3S-1000,5,SW_Push,
