Designator,Mid X,Mid Y,Rotation,Layer
J1,124.4346,-81.2546,270.0,bottom
SW1,103.7336,-81.3054,90.0,bottom
SW2,103.7844,-71.7296,90.0,bottom
SW3,103.6956,-90.9722,270.0,bottom
SW4,113.2332,-81.3054,180.0,bottom
SW5,94.1938,-81.1402,0.0,bottom
